title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Hatching Pete,Movie,2009,Comedy | Coming of Age,Disney+,TV-G,,,,
Hawaiian Holiday,Movie,1937,Animation | Comedy | Family,Disney+,TV-G,,,,
Heavyweights,Movie,1995,Comedy | Family,Disney+,PG,6.6,32641.0,US,tt0110006
Herbie Goes Bananas,Movie,1980,Action-Adventure | Comedy | Family,Disney+,G,4.9,6667.0,AU,tt0080861
Herbie Goes to Monte Carlo,Movie,1977,Action-Adventure | Comedy | Family,Disney+,G,5.7,8611.0,AU,tt0076137
Herbie Rides Again,Movie,1974,Comedy | Family | Romantic Comedy,Disney+,G,5.7,9408.0,AU,tt0071607
Hercules,Movie,1997,Action-Adventure | Animation | Comedy,Disney+,G,7.3,273529.0,MX,tt0119282
High School Musical,Movie,2006,Coming of Age | Musical | Romance,Disney+,TV-G,,,,
High School Musical 2,Movie,2007,Coming of Age | Musical,Disney+,TV-G,,,,
High School Musical 3: Senior Year,Movie,2008,Coming of Age | Family | Musical,Disney+,G,5.0,71263.0,IN,tt0962726
High School Musical: The Musical: The Series,TV Show,2019,Comedy | Coming of Age | Drama,Disney+,TV-PG,7.1,9522.0,ID,tt8510382
Hocus Pocus,Movie,1993,Comedy | Family | Fantasy,Disney+,PG,6.9,170472.0,IN,tt0107120
Home on the Range,Movie,2004,Animation | Comedy | Family,Disney+,PG,5.4,28719.0,US,tt0299172
"Honey, I Blew Up the Kid",Movie,1992,Comedy | Family | Science Fiction,Disney+,PG,4.9,48843.0,IN,tt0104437
"Honey, I Shrunk the Kids",Movie,1989,Action-Adventure | Comedy | Family,Disney+,PG,6.4,174489.0,IL,tt0097523
"Honey, We Shrunk Ourselves",Movie,1997,Action-Adventure | Comedy | Fantasy,Disney+,PG,,,,
Horse Sense,Movie,1999,Coming of Age | Drama,Disney+,TV-G,,,,
Hostile Planet,TV Show,2019,Animals & Nature | Docuseries | Survival,Disney+,TV-PG,8.2,1056.0,IN,tt8390274
Hounded,Movie,2001,Animals & Nature | Comedy | Coming of Age,Disney+,TV-G,,,,
How Dogs Got Their Shapes,Movie,2016,Animals & Nature | Documentary | Family,Disney+,TV-PG,,,,
How to Build a Better Boy,Movie,2014,Action-Adventure | Comedy | Science Fiction,Disney+,TV-G,,,,
How to Fish,Movie,1942,Animation | Comedy | Family,Disney+,TV-G,,,,
How to Swim,Movie,1942,Animation | Family | Parody,Disney+,TV-G,,,,
Hulk and the Agents of S.M.A.S.H.,TV Show,2012,Action-Adventure | Animation | Comedy,Disney+,TV-Y7,6.0,3647.0,IN,tt2455514
I'll Be Home for Christmas,Movie,1998,Action-Adventure | Comedy | Coming of Age,Disney+,PG,5.6,12813.0,PH,tt0155753
Ice Age: The Great Egg-Scapade,Movie,2016,Animation | Comedy | Family,Disney+,TV-G,,,,
Ice Princess,Movie,2005,Coming of Age | Drama | Romance,Disney+,G,6.1,30824.0,PH,tt0396652
Inner Workings,Movie,2016,Animation | Comedy | Family,Disney+,G,,,,
Inside Out,Movie,2015,Animation | Coming of Age | Family,Disney+,PG,8.1,890152.0,EG,tt2096673
Inspector Gadget,Movie,1999,Action-Adventure | Comedy | Family,Disney+,PG,4.2,53216.0,IN,tt0141369
Inspector Gadget 2,Movie,2003,Action-Adventure | Comedy | Family,Disney+,G,,,,
Into the Grand Canyon,Movie,2019,Action-Adventure | Animals & Nature | Documentary,Disney+,TV-PG,7.2,652.0,US,tt9822474
Into the Okavango,Movie,2018,Action-Adventure | Animals & Nature | Documentary,Disney+,TV-PG,7.5,655.0,AU,tt7573844
Invincible,Movie,2006,Biographical | Family | Sports,Disney+,PG,7.0,78363.0,IL,tt0445990
Invisible Sister,Movie,2015,Comedy | Science Fiction,Disney+,TV-G,,,,
Iron Man (Series),TV Show,1994,Action-Adventure | Animation | Kids,Disney+,TV-Y7,6.5,4009.0,CZ,tt0115218
Iron Man Armored Adventures,TV Show,2008,Action-Adventure | Animation | Coming of Age,Disney+,TV-G,6.5,4527.0,IN,tt0837143
Iron Will,Movie,1994,Action-Adventure | Coming of Age | Family,Disney+,PG,6.6,9938.0,SE,tt0110157
Jack,Movie,1996,Comedy | Coming of Age | Drama,Disney+,PG-13,5.8,66415.0,US,tt0116669
Jack-Jack Attack,Movie,2005,Animation | Comedy | Family,Disney+,G,,,,
James and the Giant Peach,Movie,1996,Action-Adventure | Animation | Family,Disney+,PG,6.7,77657.0,TH,tt0116683
Jane,Movie,2017,Animals & Nature | Biographical | Documentary,Disney+,PG,7.8,6126.0,EE,tt7207238
Jessie,TV Show,2011,Comedy | Coming of Age | Family,Disney+,TV-PG,6.2,21182.0,EG,tt1865769
Jingle Pols,Movie,2013,Animals & Nature | Documentary | Medical,Disney+,TV-14,,,,
Johnny Kapahala: Back on Board,Movie,2007,Coming of Age | Drama | Sports,Disney+,TV-G,,,,
Johnny Tsunami,Movie,1999,Coming of Age | Drama | Sports,Disney+,TV-G,,,,
Jonas Brothers: The Concert Experience,Movie,2009,Concert Film | Documentary | Music,Disney+,G,1.7,17599.0,AU,tt1229827
Journey to Shark Eden,Movie,2010,Action-Adventure | Animals & Nature | Documentary,Disney+,TV-G,,,,
Journey to the Center of the Earth,Movie,1959,Action-Adventure | Family | Science Fiction,Disney+,G,7.0,20900.0,US,tt0052948
Jump In!,Movie,2007,Coming of Age | Dance | Sports,Disney+,TV-G,,,,
Jumping Ship,Movie,2001,Action-Adventure | Coming of Age,Disney+,TV-G,,,,
Jungle 2 Jungle,Movie,1997,Comedy | Family,Disney+,PG,5.2,27164.0,IN,tt0119432
Jungle Cat,Movie,1960,Animals & Nature | Documentary | Family,Disney+,TV-PG,7.2,470.0,ZA,tt0053977
Kazaam,Movie,1996,Action-Adventure | Comedy | Family,Disney+,PG,3.2,26432.0,FI,tt0116756
Kickin' It,TV Show,2010,Action-Adventure | Comedy | Coming of Age,Disney+,TV-PG,6.6,7511.0,IN,tt1765622
Kim Possible,Movie,2019,Action-Adventure | Comedy | Coming of Age,Disney+,TV-G,,,,
Kim Possible Movie: So the Drama,Movie,2005,Action-Adventure | Animation | Coming of Age,Disney+,TV-G,,,,
Kingdom of the Apes: Battle Lines,Movie,2017,Animals & Nature | Documentary,Disney+,TV-PG,,,,
Kingdom of the Blue Whale,Movie,2009,Animals & Nature | Documentary | Family,Disney+,TV-PG,,,,
Kingdom of the White Wolf,TV Show,2019,Action-Adventure | Animals & Nature | Docuseries,Disney+,TV-PG,7.9,346.0,US,tt10704300
Kitbull,Movie,2019,Animation | Buddy | Comedy,Disney+,PG,,,,
Knick Knack Theatrical Short,Movie,2003,Animation | Family | Kids,Disney+,G,,,,
Kronk's New Groove,Movie,2005,Animation | Comedy | Coming of Age,Disney+,G,,,,
La Luna,Movie,2012,Animation | Coming of Age | Family,Disney+,G,,,,
